Hugoniot 
Temperature Density   Pressure   IntEnergy  SpEntropy   Part. Vel.  Shock Vel. 
K ,          g/cm3   ,   GPa   ,     MJ/kg  , MJ/K/kg ,   km/s ,    km/s
  9.650000e+03,   5.869093e+00,   2.535278e+02,   1.809535e+01,   4.583365e-03,   5.947052e+00,   1.321067e+01
  9.700000e+03,   5.872854e+00,   2.545073e+02,   1.817730e+01,   4.588922e-03,   5.960860e+00,   1.323099e+01
  9.750000e+03,   5.876552e+00,   2.554829e+02,   1.825922e+01,   4.594456e-03,   5.974565e+00,   1.325124e+01
  9.800000e+03,   5.880228e+00,   2.564570e+02,   1.834114e+01,   4.599963e-03,   5.988223e+00,   1.327142e+01
  9.850000e+03,   5.883903e+00,   2.574311e+02,   1.842306e+01,   4.605441e-03,   6.001862e+00,   1.329156e+01
  9.900000e+03,   5.887576e+00,   2.584049e+02,   1.850498e+01,   4.610889e-03,   6.015482e+00,   1.331163e+01
  9.950000e+03,   5.891247e+00,   2.593787e+02,   1.858690e+01,   4.616308e-03,   6.029082e+00,   1.333165e+01
  1.000000e+04,   5.894917e+00,   2.603523e+02,   1.866883e+01,   4.621698e-03,   6.042664e+00,   1.335162e+01
  1.005000e+04,   5.898585e+00,   2.613258e+02,   1.875075e+01,   4.627059e-03,   6.056227e+00,   1.337153e+01
  1.010000e+04,   5.902252e+00,   2.622991e+02,   1.883268e+01,   4.632392e-03,   6.069771e+00,   1.339138e+01
  1.015000e+04,   5.905917e+00,   2.632723e+02,   1.891462e+01,   4.637697e-03,   6.083296e+00,   1.341118e+01
  1.020000e+04,   5.909520e+00,   2.642415e+02,   1.899652e+01,   4.642983e-03,   6.096722e+00,   1.343091e+01
  1.025000e+04,   5.913103e+00,   2.652095e+02,   1.907841e+01,   4.648242e-03,   6.110104e+00,   1.345059e+01
  1.030000e+04,   5.916685e+00,   2.661773e+02,   1.916031e+01,   4.653475e-03,   6.123468e+00,   1.347021e+01
  1.035000e+04,   5.920265e+00,   2.671450e+02,   1.924220e+01,   4.658681e-03,   6.136814e+00,   1.348978e+01
  1.040000e+04,   5.923843e+00,   2.681125e+02,   1.932410e+01,   4.663860e-03,   6.150141e+00,   1.350930e+01
  1.045000e+04,   5.927420e+00,   2.690799e+02,   1.940600e+01,   4.669012e-03,   6.163450e+00,   1.352877e+01
  1.050000e+04,   5.930995e+00,   2.700472e+02,   1.948791e+01,   4.674138e-03,   6.176742e+00,   1.354818e+01
  1.055000e+04,   5.934569e+00,   2.710143e+02,   1.956981e+01,   4.679238e-03,   6.190015e+00,   1.356755e+01
  1.060000e+04,   5.938141e+00,   2.719812e+02,   1.965171e+01,   4.684312e-03,   6.203270e+00,   1.358686e+01
  1.065000e+04,   5.941671e+00,   2.729455e+02,   1.973360e+01,   4.689366e-03,   6.216454e+00,   1.360611e+01
  1.070000e+04,   5.945165e+00,   2.739074e+02,   1.981546e+01,   4.694399e-03,   6.229572e+00,   1.362531e+01
  1.075000e+04,   5.948657e+00,   2.748691e+02,   1.989733e+01,   4.699407e-03,   6.242674e+00,   1.364445e+01
  1.080000e+04,   5.952148e+00,   2.758307e+02,   1.997920e+01,   4.704389e-03,   6.255758e+00,   1.366355e+01
  1.085000e+04,   5.955637e+00,   2.767921e+02,   2.006107e+01,   4.709348e-03,   6.268825e+00,   1.368260e+01
  1.090000e+04,   5.959125e+00,   2.777535e+02,   2.014294e+01,   4.714281e-03,   6.281874e+00,   1.370160e+01
  1.095000e+04,   5.962611e+00,   2.787146e+02,   2.022481e+01,   4.719191e-03,   6.294906e+00,   1.372055e+01
  1.100000e+04,   5.966096e+00,   2.796756e+02,   2.030668e+01,   4.724076e-03,   6.307921e+00,   1.373945e+01
  1.105000e+04,   5.969579e+00,   2.806365e+02,   2.038856e+01,   4.728938e-03,   6.320919e+00,   1.375830e+01
  1.110000e+04,   5.973055e+00,   2.815969e+02,   2.047043e+01,   4.733776e-03,   6.333894e+00,   1.377711e+01
  1.115000e+04,   5.976463e+00,   2.825529e+02,   2.055226e+01,   4.738600e-03,   6.346761e+00,   1.379585e+01
  1.120000e+04,   5.979870e+00,   2.835087e+02,   2.063410e+01,   4.743400e-03,   6.359612e+00,   1.381455e+01
