Hugoniot 
Temperature Density   Pressure   IntEnergy  SpEntropy   Part. Vel.  Shock Vel. 
K ,          g/cm3   ,   GPa   ,     MJ/kg  , MJ/K/kg ,   km/s ,    km/s
  8.050000e+03,   6.168666e+00,   3.232542e+02,   2.421740e+01,   4.603916e-03,   6.927257e+00,   1.449195e+01
  8.100000e+03,   6.173236e+00,   3.244318e+02,   2.432428e+01,   4.612301e-03,   6.942667e+00,   1.451246e+01
  8.150000e+03,   6.177758e+00,   3.256064e+02,   2.443100e+01,   4.620642e-03,   6.957998e+00,   1.453291e+01
  8.200000e+03,   6.182272e+00,   3.267805e+02,   2.453770e+01,   4.628931e-03,   6.973301e+00,   1.455331e+01
  8.250000e+03,   6.186776e+00,   3.279541e+02,   2.464438e+01,   4.637169e-03,   6.988577e+00,   1.457365e+01
  8.300000e+03,   6.191273e+00,   3.291273e+02,   2.475103e+01,   4.645357e-03,   7.003825e+00,   1.459394e+01
  8.350000e+03,   6.195761e+00,   3.303001e+02,   2.485766e+01,   4.653496e-03,   7.019045e+00,   1.461419e+01
  8.400000e+03,   6.200240e+00,   3.314724e+02,   2.496427e+01,   4.661585e-03,   7.034238e+00,   1.463438e+01
  8.450000e+03,   6.204696e+00,   3.326433e+02,   2.507081e+01,   4.669628e-03,   7.049385e+00,   1.465452e+01
  8.500000e+03,   6.209081e+00,   3.338096e+02,   2.517710e+01,   4.677638e-03,   7.064421e+00,   1.467460e+01
  8.550000e+03,   6.213458e+00,   3.349754e+02,   2.528338e+01,   4.685600e-03,   7.079431e+00,   1.469463e+01
  8.600000e+03,   6.217827e+00,   3.361409e+02,   2.538963e+01,   4.693515e-03,   7.094415e+00,   1.471461e+01
  8.650000e+03,   6.222187e+00,   3.373059e+02,   2.549586e+01,   4.701384e-03,   7.109373e+00,   1.473454e+01
  8.700000e+03,   6.226539e+00,   3.384704e+02,   2.560207e+01,   4.709207e-03,   7.124304e+00,   1.475443e+01
  8.750000e+03,   6.230883e+00,   3.396346e+02,   2.570826e+01,   4.716984e-03,   7.139209e+00,   1.477426e+01
  8.800000e+03,   6.235219e+00,   3.407984e+02,   2.581443e+01,   4.724716e-03,   7.154089e+00,   1.479405e+01
  8.850000e+03,   6.239502e+00,   3.419586e+02,   2.592042e+01,   4.732414e-03,   7.168883e+00,   1.481379e+01
  8.900000e+03,   6.243749e+00,   3.431166e+02,   2.602629e+01,   4.740074e-03,   7.183614e+00,   1.483347e+01
  8.950000e+03,   6.247988e+00,   3.442742e+02,   2.613214e+01,   4.747691e-03,   7.198321e+00,   1.485311e+01
  9.000000e+03,   6.252219e+00,   3.454314e+02,   2.623798e+01,   4.755265e-03,   7.213002e+00,   1.487270e+01
  9.050000e+03,   6.256442e+00,   3.465882e+02,   2.634379e+01,   4.762796e-03,   7.227659e+00,   1.489224e+01
  9.100000e+03,   6.260657e+00,   3.477446e+02,   2.644958e+01,   4.770285e-03,   7.242291e+00,   1.491174e+01
  9.150000e+03,   6.264865e+00,   3.489006e+02,   2.655536e+01,   4.777732e-03,   7.256898e+00,   1.493120e+01
  9.200000e+03,   6.269065e+00,   3.500562e+02,   2.666111e+01,   4.785138e-03,   7.271481e+00,   1.495061e+01
  9.250000e+03,   6.273202e+00,   3.512077e+02,   2.676665e+01,   4.792516e-03,   7.285966e+00,   1.496997e+01
  9.300000e+03,   6.277317e+00,   3.523578e+02,   2.687213e+01,   4.799857e-03,   7.300408e+00,   1.498928e+01
  9.350000e+03,   6.281425e+00,   3.535075e+02,   2.697759e+01,   4.807157e-03,   7.314827e+00,   1.500855e+01
  9.400000e+03,   6.285525e+00,   3.546569e+02,   2.708303e+01,   4.814418e-03,   7.329222e+00,   1.502777e+01
  9.450000e+03,   6.289618e+00,   3.558059e+02,   2.718845e+01,   4.821640e-03,   7.343594e+00,   1.504695e+01
  9.500000e+03,   6.293704e+00,   3.569546e+02,   2.729385e+01,   4.828823e-03,   7.357942e+00,   1.506609e+01
  9.550000e+03,   6.297782e+00,   3.581029e+02,   2.739924e+01,   4.835968e-03,   7.372267e+00,   1.508519e+01
  9.600000e+03,   6.301854e+00,   3.592508e+02,   2.750460e+01,   4.843075e-03,   7.386569e+00,   1.510425e+01
  9.650000e+03,   6.305868e+00,   3.603950e+02,   2.760978e+01,   4.850155e-03,   7.400783e+00,   1.512325e+01
  9.700000e+03,   6.309859e+00,   3.615377e+02,   2.771489e+01,   4.857203e-03,   7.414951e+00,   1.514221e+01
  9.750000e+03,   6.313842e+00,   3.626801e+02,   2.781998e+01,   4.864213e-03,   7.429097e+00,   1.516113e+01
  9.800000e+03,   6.317819e+00,   3.638221e+02,   2.792505e+01,   4.871187e-03,   7.443221e+00,   1.518001e+01
  9.850000e+03,   6.321788e+00,   3.649637e+02,   2.803010e+01,   4.878124e-03,   7.457323e+00,   1.519885e+01
  9.900000e+03,   6.325751e+00,   3.661051e+02,   2.813514e+01,   4.885026e-03,   7.471402e+00,   1.521765e+01
  9.950000e+03,   6.329706e+00,   3.672461e+02,   2.824017e+01,   4.891893e-03,   7.485460e+00,   1.523641e+01
  1.000000e+04,   6.333655e+00,   3.683867e+02,   2.834518e+01,   4.898724e-03,   7.499495e+00,   1.525513e+01
  1.005000e+04,   6.337570e+00,   3.695252e+02,   2.845007e+01,   4.905527e-03,   7.513473e+00,   1.527381e+01
  1.010000e+04,   6.341442e+00,   3.706609e+02,   2.855483e+01,   4.912304e-03,   7.527382e+00,   1.529244e+01
  1.015000e+04,   6.345307e+00,   3.717962e+02,   2.865958e+01,   4.919047e-03,   7.541270e+00,   1.531103e+01
  1.020000e+04,   6.349165e+00,   3.729312e+02,   2.876431e+01,   4.925756e-03,   7.555137e+00,   1.532959e+01
  1.025000e+04,   6.353018e+00,   3.740659e+02,   2.886903e+01,   4.932431e-03,   7.568982e+00,   1.534810e+01
  1.030000e+04,   6.356863e+00,   3.752003e+02,   2.897373e+01,   4.939074e-03,   7.582807e+00,   1.536658e+01
  1.035000e+04,   6.360702e+00,   3.763345e+02,   2.907842e+01,   4.945684e-03,   7.596610e+00,   1.538502e+01
  1.040000e+04,   6.364534e+00,   3.774683e+02,   2.918309e+01,   4.952261e-03,   7.610393e+00,   1.540343e+01
  1.045000e+04,   6.368360e+00,   3.786017e+02,   2.928775e+01,   4.958806e-03,   7.624155e+00,   1.542179e+01
  1.050000e+04,   6.372129e+00,   3.797314e+02,   2.939222e+01,   4.965331e-03,   7.637829e+00,   1.544012e+01
  1.055000e+04,   6.375881e+00,   3.808601e+02,   2.949665e+01,   4.971827e-03,   7.651472e+00,   1.545840e+01
  1.060000e+04,   6.379628e+00,   3.819885e+02,   2.960106e+01,   4.978291e-03,   7.665094e+00,   1.547665e+01
  1.065000e+04,   6.383369e+00,   3.831167e+02,   2.970546e+01,   4.984724e-03,   7.678696e+00,   1.549486e+01
  1.070000e+04,   6.387103e+00,   3.842446e+02,   2.980985e+01,   4.991126e-03,   7.692279e+00,   1.551303e+01
  1.075000e+04,   6.390831e+00,   3.853722e+02,   2.991423e+01,   4.997498e-03,   7.705841e+00,   1.553117e+01
  1.080000e+04,   6.394553e+00,   3.864995e+02,   3.001860e+01,   5.003840e-03,   7.719384e+00,   1.554928e+01
  1.085000e+04,   6.398269e+00,   3.876265e+02,   3.012295e+01,   5.010152e-03,   7.732907e+00,   1.556735e+01
  1.090000e+04,   6.401978e+00,   3.887532e+02,   3.022729e+01,   5.016435e-03,   7.746410e+00,   1.558538e+01
  1.095000e+04,   6.405624e+00,   3.898757e+02,   3.033142e+01,   5.022701e-03,   7.759820e+00,   1.560338e+01
  1.100000e+04,   6.409264e+00,   3.909979e+02,   3.043555e+01,   5.028939e-03,   7.773210e+00,   1.562133e+01
  1.105000e+04,   6.412898e+00,   3.921199e+02,   3.053966e+01,   5.035147e-03,   7.786581e+00,   1.563926e+01
  1.110000e+04,   6.416526e+00,   3.932416e+02,   3.064376e+01,   5.041327e-03,   7.799933e+00,   1.565715e+01
  1.115000e+04,   6.420149e+00,   3.943631e+02,   3.074785e+01,   5.047478e-03,   7.813267e+00,   1.567500e+01
