P (Pa), T (K), S (J/K/kg), rho (kg/m^3), Pe, Te, Se, rho_e  
422311923814.0,13082.1796737,5247.65113272,6400.33296259,3469150793.41,521.106668891,460.22825396,52.1639233723,
423485691591.0,13128.6589245,5253.23042035,6403.66059596,3476910312.05,522.818743657,460.223672301,52.2095449955,
424656497459.0,13175.0001824,5258.67256816,6407.03744202,3484677109.11,524.535509292,460.219323471,52.2551583607,
425834216705.0,13221.6030971,5264.35101506,6410.37235604,3492451487.54,526.256985171,460.215223346,52.3007683827,
427014807385.0,13268.30301,5269.88339547,6413.66035069,3500233750.32,527.983192168,460.211378458,52.3463799583,
428194906082.0,13315.1528292,5275.19547148,6416.99073647,3508024200.39,529.714152632,460.207760904,52.3919979646,
429376408716.0,13361.9454465,5280.94182935,6420.29803101,3515823140.49,531.449890366,460.204375648,52.4376272572,
430559761766.0,13408.4950785,5286.28641804,6423.62410932,3523630872.99,533.190430609,460.201222447,52.4832726684,
431749602342.0,13455.5170919,5291.79436705,6426.94084681,3531447699.86,534.935800014,460.198298681,52.5289390054,
432935156112.0,13502.7515301,5297.10519851,6430.22724,3539273922.44,536.686026627,460.195599969,52.5746310488,
434122509573.0,13549.8036994,5302.46888628,6433.55546368,3547109841.38,538.441139864,460.193119764,52.6203535509,
435312135346.0,13596.9394727,5307.94728242,6436.79856073,3554955756.47,540.201170496,460.190856346,52.6661112336,
436501796624.0,13644.6017858,5313.37279617,6440.10978746,3562811966.56,541.966150623,460.188814914,52.7119087873,
437694459895.0,13691.8929557,5318.89771308,6443.37019453,3570678769.38,543.736113659,460.187000216,52.757750869,
438886970294.0,13739.8745022,5324.35203346,6446.70390206,3578556461.48,545.511094304,460.185405369,52.8036421008,
440080184840.0,13787.2582657,5329.74395756,6450.00385766,3586445338.05,547.291128534,460.184020395,52.849587068,
441271852205.0,13834.8759171,5335.18080572,6453.29314863,3594345692.82,549.076253569,460.182851495,52.8955903183,
442469442900.0,13882.7574861,5340.5775582,6456.54776565,3602257817.97,550.866507865,460.181895177,52.9416563592,
443673502710.0,13930.6912981,5345.83054399,6459.79951937,3610182003.94,552.661931084,460.181143646,52.9877896575,
444877009015.0,13979.0555089,5351.22923546,6463.08346283,3618118539.38,554.462564078,460.180615564,53.0339946373,
446076508963.0,14026.8483477,5356.45966099,6466.40501646,3626067711.0,556.268448872,460.180313154,53.0802756785,
447277659989.0,14074.9572177,5361.7556862,6469.70603773,3634029803.44,558.079628639,460.180216775,53.1266371156,
