P (GPa), T (K), S (J/K/kg),rho(kg/m^3), gamma, Cv/NKb, us(km/s), up(km/s) 
46.0508982097,688.375862489,2499.50626199,3804.79839791,0.85975053363,0.0,7.08675441887,1.68140116764
46.4931589049,698.022492955,2491.97762985,3813.88033123,0.864141173594,0.0,7.10383380821,1.69307756464
46.9407158492,707.733484044,2486.30584499,3822.96226454,0.868548839711,0.0,7.12091328099,1.70475396163
47.3875096019,717.920349917,2480.72469929,3832.04419786,0.872976811246,0.0,7.13799282971,1.71643035863
47.8341433606,728.063228482,2475.56971919,3841.12613118,0.877407908779,0.0,7.15507244689,1.72810675563
48.2830209195,737.240731995,2470.47017391,3850.2080645,0.881887657214,0.0,7.17215212503,1.73978315263
48.7335061182,747.484036705,2464.85996742,3859.28999782,0.886444472101,0.0,7.18923185664,1.75145954962
49.1852328007,758.117209761,2459.25206724,3868.37193114,0.890969098527,0.0,7.20631163423,1.76313594662
49.636047057,768.414375207,2454.95838458,3877.45386446,0.895566239851,0.0,7.2233914503,1.77481234362
50.0866915979,778.965392308,2451.19351927,3886.53579778,0.900154783859,0.0,7.24047129737,1.78648874062
50.5432328896,789.156726817,2445.52374099,3895.6177311,0.904720444298,0.0,7.25755116794,1.79816513761
51.0013848403,799.152010592,2441.77941883,3904.69966441,0.909288670347,0.0,7.27463105452,1.80984153461
51.4615446595,809.396874965,2436.01800866,3913.78159773,0.913918355768,0.0,7.29171094962,1.82151793161
51.9235297532,819.735020992,2434.57444701,3922.86353105,0.91857841478,0.0,7.30879084575,1.83319432861
52.3900039022,829.932944487,2432.28185221,3931.94546437,0.923246044406,0.0,7.32587073541,1.8448707256
52.8570122481,840.357559281,2428.7985642,3941.02739769,0.927869094675,0.0,7.34295061111,1.8565471226
53.324718908,850.801225149,2424.91560892,3950.10933101,0.932513634805,0.0,7.36003046536,1.8682235196
53.7925174951,861.718540158,2420.11492318,3959.19126433,0.937187108105,0.0,7.37711029067,1.8798999166
54.263337303,872.052387961,2418.40972547,3968.27319765,0.941865998175,0.0,7.39419007955,1.89157631359
54.7302250399,883.107126247,2415.9826689,3977.35513096,0.946551497399,0.0,7.4112698245,1.90325271059
55.2014098766,893.76809843,2413.38924295,3986.43706428,0.951209829817,0.0,7.42834951803,1.91492910759
55.6764791315,904.54501194,2410.81167005,3995.5189976,0.95590073628,0.0,7.44542915266,1.92660550459
56.1535165006,916.27387587,2409.05457616,4004.60093092,0.960604559283,0.0,7.46250872088,1.93828190158
56.6290946886,927.77755776,2406.56685722,4013.68286424,0.965308161283,0.0,7.4795882152,1.94995829858
57.1082912426,939.469658269,2404.89780491,4022.76479756,0.970008015705,0.0,7.49666762814,1.96163469558
57.592250112,950.743344,2405.21085905,4031.84673088,0.974694091126,0.0,7.5137469522,1.97331109258
58.0773502217,962.158718395,2403.56585917,4040.9286642,0.979375401543,0.0,7.5308261799,1.98498748957
58.5619223317,973.617446967,2401.67639473,4050.01059752,0.984056127198,0.0,7.54790530373,1.99666388657
59.0484887124,985.069712944,2400.98842839,4059.09253083,0.988735401307,0.0,7.5649843162,2.00834028357
59.5343352625,997.064562373,2399.86920508,4068.17446415,0.993412344575,0.0,7.58206320983,2.02001668057
60.0273440699,1008.75417792,2399.00255053,4077.25639747,0.998086065524,0.0,7.59914197712,2.03169307756
60.5215718642,1020.56742362,2397.32807015,4086.33833079,1.00275566083,0.0,7.61622061058,2.04336947456
61.0170993792,1032.17281644,2395.3178674,4095.42026411,1.00742021564,0.0,7.63329910272,2.05504587156
61.5106206758,1044.02390301,2393.44945848,4104.50219743,1.01207880398,0.0,7.65037744604,2.06672226856
62.0087718009,1055.3082455,2393.20608588,4113.58413075,1.01673048907,0.0,7.66745563306,2.07839866555
62.5047862095,1067.67158466,2393.55378269,4122.66606407,1.0213743237,0.0,7.68453365628,2.09007506255
63.0064040408,1079.66559694,2393.10615361,4131.74799738,1.02600509091,0.0,7.70161150821,2.10175145955
63.5051307152,1091.38935567,2393.05623685,4140.8299307,1.03060558849,0.0,7.71868918136,2.11342785655
64.0088552026,1102.10421251,2393.01829197,4149.91186402,1.03519037531,0.0,7.73576666823,2.12510425354
64.5115980176,1113.74800184,2393.46279559,4158.99379734,1.0397590492,0.0,7.75284396133,2.13678065054
65.0185773709,1126.58988752,2394.15636937,4168.07573066,1.0443105358,0.0,7.76992105318,2.14845704754
65.5278368444,1138.47975448,2394.97821914,4177.15766398,1.048843754,0.0,7.78699793628,2.16013344454
66.0386272518,1150.44731803,2395.92077632,4186.2395973,1.05336184656,0.0,7.80407460313,2.17180984153
66.5497271993,1162.35125483,2397.14453178,4195.32153062,1.05790371279,0.0,7.82115104625,2.18348623853
67.0618605128,1175.27210434,2397.53948589,4204.40346393,1.06239581456,0.0,7.83822725814,2.19516263553
67.5741819948,1188.2332608,2399.27917825,4213.48539725,1.06683713128,0.0,7.85530323132,2.20683903253
68.0921657348,1201.35632256,2399.71722946,4222.56733057,1.07125415365,0.0,7.87237895828,2.21851542952
68.6095250173,1213.76910007,2400.11526767,4231.64926389,1.07564765418,0.0,7.88945443154,2.23019182652
69.1293615666,1225.71531116,2400.44553984,4240.73119721,1.08005015854,0.0,7.90652964361,2.24186822352
69.6498087058,1238.98848994,2400.54756211,4249.81313053,1.08450359069,0.0,7.92360458698,2.25354462052
70.1752856691,1251.51731044,2403.47601208,4258.89506385,1.08893641255,0.0,7.94067925419,2.26522101751
70.7022653839,1264.25275439,2404.40574566,4267.97699717,1.09339109154,0.0,7.95775363771,2.27689741451
71.2349497036,1277.80263651,2405.25269465,4277.05893049,1.0977749246,0.0,7.97482773008,2.28857381151
71.7604962004,1291.2845052,2407.31542403,4286.1408638,1.10211292867,0.0,7.99190152379,2.30025020851
72.2907555126,1304.64962227,2409.00877647,4295.22279712,1.10642431618,0.0,8.00897501136,2.3119266055
72.8241601063,1318.43549055,2410.5638318,4304.30473044,1.11072711984,0.0,8.02604818528,2.3236030025
73.3530735794,1331.42915793,2412.5302171,4313.38666376,1.1149727512,0.0,8.04312103808,2.3352793995
73.8862239948,1344.7745812,2413.43406785,4322.46859708,1.11918780262,0.0,8.06019356225,2.3469557965
74.4178115124,1357.99388308,2414.64662412,4331.5505304,1.12337120497,0.0,8.07726575031,2.35863219349
74.9554362942,1371.82374223,2416.9966579,4340.63246372,1.12754568693,0.0,8.09433759476,2.37030859049
75.4974575135,1385.07305611,2419.31627666,4349.71439704,1.13174861661,0.0,8.11140908811,2.38198498749
76.0365066789,1397.9954687,2423.12473941,4358.79633035,1.13592061828,0.0,8.12848022287,2.39366138449
76.5825265724,1411.19524214,2426.62150058,4367.87826367,1.14006065933,0.0,8.14555099155,2.40533778148
77.1279511405,1425.20790998,2429.26648289,4376.96019699,1.14419148754,0.0,8.16262138665,2.41701417848
77.6748707267,1438.61604577,2431.78641569,4386.04213031,1.14831745633,0.0,8.17969140069,2.42869057548
78.2228557466,1451.42306931,2434.70324049,4395.12406363,1.15236039378,0.0,8.19676102616,2.44036697248
78.7696592715,1466.19547599,2437.90676604,4404.20599695,1.15613827321,0.0,8.21383025559,2.45204336947
79.3179600616,1479.86463791,2441.12148878,4413.28793027,1.16004038285,0.0,8.23089908147,2.46371976647
79.871100719,1494.38497,2444.63140329,4422.36986359,1.1638594788,0.0,8.24796749631,2.47539616347
80.4273844811,1508.28460299,2447.05729621,4431.4517969,1.16762997288,0.0,8.26503549263,2.48707256047
80.9842401493,1523.11950988,2449.60763912,4440.53373022,1.17133786175,0.0,8.28210306293,2.49874895746
81.5422915126,1537.64798636,2452.19726746,4449.61566354,1.17499989622,0.0,8.29917019972,2.51042535446
82.0997002862,1551.70795327,2456.33170776,4458.69759686,1.17861506378,0.0,8.3162368955,2.52210175146
82.6663994312,1566.36404783,2459.96146075,4467.77953018,1.18224278858,0.0,8.33330314279,2.53377814846
83.2329392579,1581.18348111,2464.32702615,4476.8614635,1.18574453716,0.0,8.3503689341,2.54545454545
83.7972573714,1596.20796033,2467.97109435,4485.94339682,1.189140304,0.0,8.36743426192,2.55713094245
84.3607973892,1610.4438682,2471.75762751,4495.02533014,1.1924940507,0.0,8.38449911877,2.56880733945
84.9268982915,1624.30219784,2475.05666444,4504.10726346,1.19582601792,0.0,8.40156349716,2.58048373645
85.4963804713,1639.56193155,2479.00105258,4513.18919677,1.19887828304,0.0,8.41862738959,2.59216013344
86.0674609194,1654.27469301,2482.9723382,4522.27113009,1.20216887602,0.0,8.43569078858,2.60383653044
86.6378427322,1669.03203845,2487.2230252,4531.35306341,1.20546631593,0.0,8.45275368662,2.61551292744
87.2103862083,1684.63057903,2491.70872646,4540.43499673,1.20858448905,0.0,8.46981607623,2.62718932444
87.7874484946,1699.07428263,2496.05079816,4549.51693005,1.21164094781,0.0,8.48687794992,2.63886572143
88.3644798122,1714.05211825,2499.38150439,4558.59886337,1.21470092518,0.0,8.5039393002,2.65054211843
88.9409085371,1729.24627733,2503.74214263,4567.68079669,1.2176052434,0.0,8.52100011957,2.66221851543
89.5242836177,1744.60014862,2508.4780307,4576.76273001,1.22043105595,0.0,8.53806040053,2.67389491243
90.105773545,1759.8534671,2513.17488825,4585.84466332,1.22327333236,0.0,8.55512013561,2.68557130942
90.6909103513,1775.8373052,2519.35010318,4594.92659664,1.22615114349,0.0,8.5721793173,2.69724770642
91.2837081671,1791.82191065,2523.60683751,4604.00852996,1.22888010247,0.0,8.58923793812,2.70892410342
91.8689613369,1807.17968864,2528.0422882,4613.09046328,1.2315723344,0.0,8.60629599057,2.72060050042
92.4555263509,1822.31676948,2532.64591181,4622.1723966,1.23409260909,0.0,8.62335346715,2.73227689741
93.0467366431,1838.17668806,2538.33510733,4631.25432992,1.23654726778,0.0,8.64041036039,2.74395329441
93.6364637953,1853.77273752,2543.41424322,4640.33626324,1.23894788713,0.0,8.65746666278,2.75562969141
94.2320997821,1868.75563358,2548.42341109,4649.41819656,1.24138993175,0.0,8.67452236684,2.76730608841
94.8238836606,1884.28229829,2553.7450999,4658.50012987,1.24349097371,0.0,8.69157746507,2.7789824854
95.4212649566,1900.19459827,2559.19870871,4667.58206319,1.24604771343,0.0,8.70863194998,2.7906588824
96.0219135537,1916.45686608,2565.16145944,4676.66399651,1.24859740001,0.0,8.72568581408,2.8023352794
96.6163038368,1932.33764231,2570.72760567,4685.74592983,1.25069232381,0.0,8.74273904987,2.8140116764
97.2151964814,1948.15211222,2576.61789384,4694.82786315,1.25267583924,0.0,8.75979164987,2.82568807339
97.8160747736,1964.38678706,2582.68553964,4703.90979647,1.25447903325,0.0,8.77684360658,2.83736447039
98.4194020942,1980.15115938,2588.28943333,4712.99172979,1.25640116459,0.0,8.79389491251,2.84904086739
99.0229302036,1997.06147996,2593.70044705,4722.07366311,1.25815879978,0.0,8.81094556016,2.86071726439
99.6331448069,2013.81066477,2599.65557069,4731.15559643,1.25978681088,0.0,8.82799554206,2.87239366138
100.239244932,2030.58311029,2605.26435252,4740.23752974,1.26147430874,0.0,8.84504485069,2.88407005838
100.849068082,2047.36369653,2610.15728073,4749.31946306,1.26315293252,0.0,8.86209347858,2.89574645538
101.460255618,2063.49490542,2615.55068892,4758.40139638,1.26484749235,0.0,8.87914141823,2.90742285238
102.074159453,2080.03346849,2620.90609958,4767.4833297,1.2662816528,0.0,8.89618866215,2.91909924937
102.697965599,2096.89944562,2626.13925996,4776.56526302,1.26768549471,0.0,8.91323520284,2.93077564637
103.323820156,2114.36764126,2631.50569378,4785.64719634,1.26904378572,0.0,8.93028103282,2.94245204337
103.948153897,2130.73052394,2637.2929785,4794.72912966,1.27030777504,0.0,8.94732614458,2.95412844037
104.57131025,2147.3088807,2642.60768447,4803.81106298,1.27152069115,0.0,8.96437053065,2.96580483736
105.198527642,2164.37650362,2649.30331329,4812.89299629,1.27270950339,0.0,8.98141418353,2.97748123436
105.82447544,2180.66102138,2654.9150567,4821.97492961,1.27405562094,0.0,8.99845709572,2.98915763136
106.452501699,2197.58669094,2661.23572561,4831.05686293,1.27524192316,0.0,9.01549925973,3.00083402836
107.083011037,2214.96863847,2667.73129376,4840.13879625,1.27629105637,0.0,9.03254066808,3.01251042535
107.71360955,2231.27794806,2673.80294685,4849.22072957,1.2770227092,0.0,9.04958131326,3.02418682235
108.341708289,2248.51200766,2679.83860186,4858.30266289,1.27781786261,0.0,9.0666211878,3.03586321935
108.975827113,2266.509598,2685.25407302,4867.38459621,1.27856444347,0.0,9.08366028418,3.04753961635
109.607437613,2284.39887765,2691.29504056,4876.46652953,1.27912991951,0.0,9.10069859494,3.05921601334
110.246492068,2302.11309128,2696.7803866,4885.54846284,1.27970628299,0.0,9.11773611256,3.07089241034
110.885138359,2318.69410631,2702.9223451,4894.63039616,1.28043228386,0.0,9.13477282956,3.08256880734
111.528057579,2336.82072019,2709.57905862,4903.71232948,1.28080690537,0.0,9.15180873845,3.09424520434
112.178682495,2354.22781191,2716.73035889,4912.7942628,1.28124085491,0.0,9.16884383174,3.10592160133
